tehsil,spi,ai,spi_z,ai_z,gap_index,gap_rank,priority_strict,priority_relaxed,priority_lisa_gap,spi_cluster,gap_cluster
GOJAL,0.2931330502033233,0.2491613626480102,1.7043376414319142,-1.8126875808026688,3.517025222234583,1,True,True,True,HH,HH
KANDIA,0.0977226048707962,0.1788792759180069,1.0725793701338293,-2.09767056173981,3.1702499318736397,2,True,True,True,HH,HH
BAHRAIN,0.219033807516098,0.307002991437912,1.4647761922733593,-1.5781487308375204,3.0429249231108795,3,True,True,True,HH,HH
GUPIS,0.1171110942959785,0.2441778182983398,1.1352619894866007,-1.8328950816109113,2.968157071097512,4,True,True,True,HH,HH
SHARINGAL,0.2272515743970871,0.348055899143219,1.4913440770649313,-1.4116855457169613,2.903029622781893,5,True,True,True,HH,HH
ISHKOMEN,0.1026505827903747,0.2543298304080963,1.0885114294777922,-1.7917302441941918,2.880241673671984,6,True,True,True,HH,HH
ALIABAD,0.0807007402181625,0.2649150192737579,1.0175480038784663,-1.7488089420947324,2.7663569459731985,7,True,True,True,HH,HH
MASTUJ,0.1699838638305664,0.3439187705516815,1.3061986526883669,-1.428460961664213,2.73465961435258,8,True,True,True,HH,HH
MASHABRUM,0.049782671034336,0.263824462890625,0.9175904713821342,-1.753230979393357,2.6708214507754913,9,True,True,True,Not Significant,HH
NAGAR-II,0.0281106531620025,0.2894628942012787,0.84752524777923,-1.6492711096539872,2.496796357433217,10,False,True,True,HH,HH
DASSU,0.0787911340594291,0.3454453647136688,1.0113742833096981,-1.4222708586777195,2.4336451419874177,11,True,True,True,HH,HH
YASIN,0.0685531795024871,0.3395663201808929,0.9782751699971234,-1.4461094740911895,2.424384644088313,12,True,True,True,HH,HH
ATHUMQAM,0.2663966715335846,0.5012511014938354,1.6178994352223022,-0.790502717169702,2.408402152392004,13,False,True,True,HH,HH
SHIGAR,0.002383382525295,0.2982490956783294,0.7643494687413893,-1.6136444229042992,2.3779938916456884,14,False,True,True,HH,HH
NAGAR-I,0.0932945385575294,0.3778337836265564,1.058263515551428,-1.2909408342136728,2.3492043497651007,15,True,True,True,HH,HH
PUNIAL,-0.1569789946079254,0.2606081664562225,0.2491339196630704,-1.766272563502473,2.0154064831655436,16,False,True,True,HH,HH
PATTAN,0.1869494616985321,0.5770646929740906,1.3610481094938387,-0.48309034083269736,1.8441384503265361,17,False,True,True,HH,HH
RONDU,-0.0491728074848651,0.4080899953842163,0.5976692822236795,-1.1682565796654598,1.7659258618891394,18,False,True,True,Not Significant,HH
DAREL TANGIR,-0.1290067732334137,0.3562758564949035,0.3395675819468711,-1.378354891232293,1.717922473179164,19,False,True,True,HH,HH
BALAKOT,0.0884559750556945,0.5399168133735657,1.0426205313277161,-0.6337192415470561,1.6763397728747722,20,False,True,True,HH,HH
CHITRAL,0.0528680011630058,0.5161776542663574,0.9275652852932096,-0.7299778565381391,1.6575431418313487,21,False,True,True,HH,HH
ASTORE,-0.0445630475878715,0.4514433443546295,0.6125725487234216,-0.9924654613587492,1.6050380100821708,22,False,True,True,HH,HH
KHAPLU,-0.0260675810277462,0.4732645452022552,0.6723680420553807,-0.9039838701806987,1.5763519122360794,23,False,True,True,Not Significant,HH
SKARDU,-0.1338032335042953,0.4056725800037384,0.3240607166719588,-1.178058824780043,1.5021195414520019,24,False,True,True,HH,HH
GILGIT,-0.092282697558403,0.4785788059234619,0.4582958235410419,-0.8824353656858809,1.340731189226923,25,False,True,True,HH,HH
PALAS,0.266479879617691,0.8050961494445801,1.6181684453833691,0.44154191236214224,1.1766265330212269,26,False,False,True,HH,HH
CHILAS,-0.1923608779907226,0.4487928450107574,0.1347449603464434,-1.003212825859897,1.1379577862063404,27,False,True,True,HH,HH
MUZAFFARABAD,0.1007539555430412,0.6843277812004089,1.0823796694839325,-0.048155124058459155,1.1305347935423917,28,False,True,False,HH,Not Significant
KHARMANG,-0.1287819594144821,0.5043255090713501,0.3402944007685081,-0.7780364704086787,1.1183308711771869,29,False,True,False,Not Significant,Not Significant
ALPURI,0.1097306683659553,0.7093082070350647,1.111401212141456,0.05313663534515414,1.058264576796302,30,False,False,False,HH,Not Significant
HATTIAN BALA,0.2029001712799072,0.7999044060707092,1.4126164516771824,0.4204901967431929,0.9921262549339895,31,False,False,False,Not Significant,Not Significant
GULTARI,-0.1243326514959335,0.5967926383018494,0.3546789290587532,-0.40309657671940774,0.757775505778161,32,False,True,True,Not Significant,HH
ALAI,0.067724235355854,0.7533820271492004,0.9755952092601808,0.23184915259959388,0.7437460566605869,33,False,False,False,HH,Not Significant
DIR,-0.0655442327260971,0.6899107694625854,0.5447407742747499,-0.025516970988184503,0.5702577452629344,34,False,True,False,Not Significant,Not Significant
HAVELI,0.0363727957010269,0.8365833759307861,0.8742365982333482,0.5692177410545083,0.3050188571788399,35,False,False,False,Not Significant,Not Significant
BISHAM,-0.0321196764707565,0.8010984063148499,0.6528017320339237,0.42533168288349565,0.227470049150428,36,False,False,False,HH,Not Significant
BATAGRAM,-0.0176337677985429,0.8273500204086304,0.699634400601699,0.531777913878275,0.16785648672342401,37,False,False,False,Not Significant,Not Significant
CHIKSAR,-0.1440897136926651,0.8122048377990723,0.29080472091140475,0.47036654310480763,-0.1795618221934029,38,False,False,False,Not Significant,Not Significant
BAGH,-0.1103333979845047,0.8665540814399719,0.3999382507024553,0.6907443119659377,-0.29080606126348235,39,False,False,False,Not Significant,Not Significant
MATTA,-0.2889367043972015,0.7246949076652527,-0.17748285857038487,0.11552732430155414,-0.29301018287193903,40,False,False,False,Not Significant,Not Significant
KHAWAZA KHELA,-0.3186922371387481,0.7194160223007202,-0.273681932751728,0.09412226140139855,-0.36780419415312654,41,False,False,False,Not Significant,Not Significant
TORGHER,-0.0546739511191844,0.9537504315376282,0.5798841889720574,1.044312012269584,-0.4644278232975265,42,False,False,False,Not Significant,Not Significant
WARI,-0.2373168766498565,0.8384056687355042,-0.010596932452804592,0.5766068562585557,-0.5872037887113603,43,False,False,False,Not Significant,Not Significant
PURAN,-0.2574033737182617,0.8301417231559753,-0.07553619730518062,0.5430978363200363,-0.6186340336252169,44,False,False,False,Not Significant,Not Significant
MANSEHRA,-0.3167870938777923,0.8053949475288391,-0.26752264064700704,0.4427534923352522,-0.7102761329822592,45,False,False,False,LH,Not Significant
SEHNSA,-0.2940476834774017,0.8237859606742859,-0.19400655720304175,0.5173262034270267,-0.7113327606300685,46,False,False,False,Not Significant,LL
MARTUNG,-0.2275180518627166,0.8942193388938904,0.021082482625248568,0.8029226479322406,-0.781840165306992,47,False,False,False,Not Significant,Not Significant
GAGRA,-0.3982023000717163,0.7883821725845337,-0.530736461356155,0.3737693237765359,-0.904505785132691,48,False,False,False,Not Significant,Not Significant
ABBASPUR,-0.2220367044210434,0.9290246367454528,0.03880357516072125,0.9440527423224084,-0.9052491671616871,49,False,False,False,Not Significant,Not Significant
DHEERKOT,-0.3650264143943786,0.8414749503135681,-0.42347945086916755,0.5890523178853904,-1.0125317687545579,50,False,False,False,Not Significant,Not Significant
