tehsil,priority_relaxed,priority_sens_proposal,priority_sens_equal,priority_sens_terrain_emphasis,priority_sens_vegetation_water_emphasis,priority_frequency
ATHUMQAM,True,True,True,True,True,5
MUZAFFARABAD,True,True,True,True,True,5
ISHKOMEN,True,True,True,True,True,5
PUNIAL,True,True,True,True,True,5
YASIN,True,True,True,True,True,5
GILGIT,True,True,True,True,True,5
ALIABAD,True,True,True,True,True,5
GOJAL,True,True,True,True,True,5
NAGAR-I,True,True,True,True,True,5
NAGAR-II,True,True,True,True,True,5
GULTARI,True,True,True,True,True,5
KHARMANG,True,True,True,True,True,5
ASTORE,True,True,True,True,True,5
MASHABRUM,True,True,True,True,True,5
KHAPLU,True,True,True,True,True,5
DAREL TANGIR,True,True,True,True,True,5
CHILAS,True,True,True,True,True,5
SHIGAR,True,True,True,True,True,5
SKARDU,True,True,True,True,True,5
RONDU,True,True,True,True,True,5
PATTAN,True,True,True,True,True,5
DASSU,True,True,True,True,True,5
KANDIA,True,True,True,True,True,5
CHITRAL,True,True,True,True,True,5
DIR,True,True,True,True,True,5
BAHRAIN,True,True,True,True,True,5
SHARINGAL,True,True,True,True,True,5
BALAKOT,True,True,True,True,True,5
MASTUJ,True,True,True,True,True,5
GUPIS,True,True,True,True,True,5
BARNALA,False,False,False,False,False,0
BAGH,False,False,False,False,False,0
DHEERKOT,False,False,False,False,False,0
RAWALAKOT,False,False,False,False,False,0
HAJEERA,False,False,False,False,False,0
ABBASPUR,False,False,False,False,False,0
MIRPUR,False,False,False,False,False,0
SEHNSA,False,False,False,False,False,0
DUDYAL,False,False,False,False,False,0
KOTLI,False,False,False,False,False,0
NAKIAL,False,False,False,False,False,0
SAMAHNI,False,False,False,False,False,0
BHIMBER,False,False,False,False,False,0
HAVELI,False,False,False,False,False,0
HATTIAN BALA,False,False,False,False,False,0
SAFI,False,False,False,False,False,0
AMBAR UTMAN KHEL,False,False,False,False,False,0
SALARZAI,False,False,False,False,False,0
UPPER MOMAND,False,False,False,False,False,0
BATAGRAM,False,False,False,False,False,0
ALAI,False,False,False,False,False,0
NAWAGAI,False,False,False,False,False,0
MAMUND,False,False,False,False,False,0
KHAR,False,False,False,False,False,0
PALLANDARI,False,False,False,False,False,0
BARANG,False,False,False,False,False,0
BAR CHAMARKAND,False,False,False,False,False,0
UTMAN KHEL,False,False,False,False,False,0
PALAS,False,False,False,False,False,0
MUNDA,False,False,False,False,False,0
LALQILLA,False,False,False,False,False,0
SAMARBAGH(BARWA),False,False,False,False,False,0
ADENZAI,False,False,False,False,False,0
DAGGAR,False,False,False,False,False,0
GAGRA,False,False,False,False,False,0
MANSEHRA,False,False,False,False,False,0
SWAT RANIZAI,False,False,False,False,False,0
TEMERGARA,False,False,False,False,False,0
ALPURI,False,False,False,False,False,0
MARTUNG,False,False,False,False,False,0
PURAN,False,False,False,False,False,0
CHIKSAR,False,False,False,False,False,0
BISHAM,False,False,False,False,False,0
BARIKOT,False,False,False,False,False,0
BABUZAI,False,False,False,False,False,0
CHARBAGH,False,False,False,False,False,0
KABAL,False,False,False,False,False,0
MATTA,False,False,False,False,False,0
KHAWAZA KHELA,False,False,False,False,False,0
TORGHER,False,False,False,False,False,0
WARI,False,False,False,False,False,0
