shapeName,shapeISO,shapeID,shapeGroup,shapeType,name_norm,tehsil_key,tehsil,spi_mean,spi_median,spi_std,spi_min,spi_max,spi_p25,spi_p75,spi_count,spi_range,ai_mean,ai_median,ai_std,ai_min,ai_max,ai_p25,ai_p75,ai_count,ai_range,area_km2,spi,ai,spi_z,ai_z,gap_index,gap_rank,queen_neighbors,spi_local_I,spi_spatial_lag,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_spatial_lag,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_spatial_lag,gap_local_p,gap_quadrant,gap_cluster,ols_fitted_spi,ols_residual,priority_strict,priority_relaxed,priority_lisa_gap,tri_mean,tri_count,forest_mean,forest_count,water_mean,water_count,snow_mean,snow_count,forest_pct,water_pct,snow_pct,tri_mean_z,forest_pct_z,water_pct_z,snow_pct_z,spi_sens_proposal,gap_sens_proposal,priority_sens_proposal,spi_sens_equal,gap_sens_equal,priority_sens_equal,spi_sens_terrain_emphasis,gap_sens_terrain_emphasis,priority_sens_terrain_emphasis,spi_sens_vegetation_water_emphasis,gap_sens_vegetation_water_emphasis,priority_sens_vegetation_water_emphasis,priority_frequency,spi_class,ai_class,bivariate_class
BAGH,,9618217B73079690921862,PAK,ADM3,BAGH,BAGH,BAGH,-0.1030802130699157,-0.1382194012403488,0.4247084856033325,-1.0712755918502808,1.279578447341919,-0.4176640510559082,0.1915295273065567,44829,2.35085391998291,0.866644024848938,0.9258747100830078,0.1488141417503357,0.2405559569597244,1.0,0.7937005162239075,0.9746546149253844,44935,0.7594440579414368,449.2769935179932,-0.1030802130699157,0.866644024848938,0.4095246377490897,0.6921114702924479,-0.2825868325433582,39,6,0.17262958089254632,0.42153649617123695,0.509,1,Not Significant,0.3986143348227692,0.5759395009800037,0.242,1,Not Significant,0.012689386066018314,-0.08326686590508016,0.963,3,Not Significant,-0.38644224061393023,0.2833620275440145,False,False,False,38.984832763671875,44935,0.3619672954082489,44935,0.0010682096472010016,44935,0.055200885981321335,44829,36.19672954082489,0.10682096472010016,5.5200885981321335,-0.027431911662673482,1.3902314931347894,-0.692640526211823,-0.5026692515814433,0.12265661563904685,-0.4968958139843884,False,0.041872450919712395,-0.6238769665148142,False,0.08503387612663126,-0.5693082954152927,False,0.16027935515146252,-0.41136214826388234,False,0,Medium,Medium,Medium SPI / Medium AI
DHEERKOT,,9618217B97675599580596,PAK,ADM3,DHEERKOT,DHEERKOT,DHEERKOT,-0.3662183284759521,-0.3762187361717224,0.2583025395870209,-1.064640760421753,1.071111083030701,-0.5552635788917542,-0.1854299753904342,21920,2.135751724243164,0.8468368053436279,0.8968043327331543,0.1494426429271698,0.2509389817714691,1.0,0.7584357857704163,0.9643452763557434,23006,0.7490609884262085,230.17283944944074,-0.3662183284759521,0.8468368053436279,-0.4330391530779987,0.6117417620787129,-1.0447809151567116,50,4,-0.2628815867090405,0.6070619361794534,0.467,2,Not Significant,0.31416509159399775,0.5135583526723062,0.431,1,Not Significant,-0.028410993948010926,0.050424862904559414,0.916,2,Not Significant,-0.36838927638318736,0.0021709479072352655,False,False,False,37.58955764770508,23006,0.20416413247585297,23006,8.693384006619453e-05,23006,0.029929788783192635,21920,20.416413247585297,0.008693384006619453,2.9929788783192635,-0.12883099871805515,0.25593011396411713,-0.7000898905091665,-0.7360784387623056,-0.23797961491237193,-0.9905011667061183,False,-0.3272673035063525,-1.145049977072343,False,-0.22865472595692493,-0.9419575252218698,False,-0.24730450386781885,-1.0449265083605384,False,0,Medium,Medium,Medium SPI / Medium AI
BARNALA,,9618217B79573260848394,PAK,ADM3,BARNALA,BARNALA,BARNALA,-0.6669787764549255,-0.8162150382995605,0.405045598745346,-1.1776703596115112,1.0104544162750244,-1.0101099014282229,-0.4159802496433258,40034,2.188124656677246,0.9480075240135192,0.9784520268440248,0.0690929964184761,0.5202189683914185,1.0,0.932933270931244,0.9847147464752196,42574,0.4797810316085815,425.7600286789205,-0.6669787764549255,0.9480075240135192,-1.3960690158897469,1.022251734823408,-2.4183207507131548,75,2,0.907946653828916,-0.6503594331618777,0.163,3,Not Significant,0.8038212366740968,0.7863241599809612,0.198,1,Not Significant,1.0104340572484218,-0.7747785753678622,0.16,3,Not Significant,-0.4605996628463886,-0.20637911360853695,False,False,False,9.399435997009277,42574,0.21499036252498627,42574,0.0035702541936188936,42574,0.00036567437928169966,40034,21.499036252498627,0.35702541936188936,0.036567437928169966,-2.1774969332352483,0.3337498955689498,-0.6736462320705348,-1.0091388388960145,-1.0736613716503711,-2.7310507932951893,False,-0.8816330271582119,-2.458943182321004,False,-1.2744162481488166,-2.8627224803254228,False,-0.8729064951519254,-2.5512565556666624,False,0,Low,High,Low SPI / High AI
BHIMBER,,9618217B68732265330698,PAK,ADM3,BHIMBER,BHIMBER,BHIMBER,-0.4752815663814544,-0.4999833106994629,0.2999852299690246,-1.0910860300064087,0.575555145740509,-0.6910672783851624,-0.2581332921981811,35951,1.6666412353515625,0.8362804651260376,0.8866513967514038,0.1586118638515472,0.2038170993328094,1.0,0.7458211183547974,0.969663143157959,37207,0.7961828708648682,372.16655806900684,-0.4752815663814544,0.8362804651260376,-0.7822577945041606,0.5689083910007985,-1.351166185504959,54,3,0.6601602125238829,-0.8439164392632611,0.198,3,Not Significant,0.5472694451186314,0.961964094352518,0.261,1,Not Significant,0.7096279716660527,-0.9738800900890361,0.173,3,Not Significant,-0.3587678738281936,-0.11651369255326083,False,False,False,13.636903762817383,37207,0.30902788043022156,37207,0.000134383313707076,37207,0.0013758253771811724,35951,30.902788043022156,0.013438331370707601,0.13758253771811724,-1.8695466530628504,1.0096988706816483,-0.6997296773944662,-0.9998088710872916,-0.7853112096967151,-1.8187801766219294,False,-0.6398465827157399,-1.611589512035188,False,-0.9877643346673592,-1.9954057101037557,False,-0.5828580847260709,-1.5898571711545313,False,0,Low,Medium,Low SPI / Medium AI
SAMAHNI,,9618217B74772899110096,PAK,ADM3,SAMAHNI,SAMAHNI,SAMAHNI,-0.3928961455821991,-0.4266119301319122,0.3386263251304626,-1.0773807764053345,1.0109184980392456,-0.6514258980751038,-0.165459394454956,38294,2.08829927444458,0.9434452652931212,0.9731379747390748,0.0782277658581733,0.4252745509147644,1.0,0.9258747100830078,1.0,39832,0.5747254490852356,398.29089868549937,-0.3928961455821991,0.9434452652931212,-0.5184610718195949,1.0037399289611237,-1.5222010007807185,59,4,0.43874834564549076,-0.846251279976829,0.283,3,Not Significant,0.8671656978438959,0.8639346436495924,0.085,1,HH,0.757091328564762,-0.9222736445558575,0.133,3,Not Significant,-0.4564414672213712,0.06354532163917209,False,False,False,21.258481979370117,39832,0.3330739140510559,39832,0.0,39832,0.0015146497171372175,38295,33.30739140510559,0.0,0.15146497171372175,-1.315662287007818,1.1825436260898892,-0.7007498495540256,-0.9985266601846142,-0.5205579772191522,-1.8322404271999015,False,-0.4580987926641422,-1.750248507083437,False,-0.6762138947467271,-1.9803061747157058,False,-0.3649020596915772,-1.6429114914398153,False,0,Medium,High,Medium SPI / High AI
HATTIAN BALA,,9618217B68754169353282,PAK,ADM3,HATTIAN BALA,HATTIAN BALA,HATTIAN BALA,0.2319756299257278,0.2499504387378692,0.505976676940918,-1.1532071828842163,2.116466999053955,-0.1378740668296814,0.597943902015686,70027,3.269674301147461,0.8011972308158875,0.8572439551353455,0.1858593374490738,0.188559427857399,1.0,0.6843665838241577,0.9622238278388976,72407,0.8114405870437622,724.0401355896432,0.2319756299257278,0.8011972308158875,1.4823677748125355,0.42655477574728173,1.0558129990652536,30,3,0.5452869504195634,0.3678486268284685,0.262,1,Not Significant,0.18125035715530757,0.4249169566505846,0.625,1,Not Significant,-0.017523268222187676,-0.030775961728273498,0.961,4,Not Significant,-0.32679183731634914,0.5587674672420769,False,False,False,48.72397994995117,72407,0.4966094493865967,72407,0.006339166313409805,72407,0.10331389307975769,70027,49.66094493865967,0.6339166313409805,10.331389307975769,0.6803429365273447,2.35804974287151,-0.6526260102963128,-0.05828736378178497,0.722381303702285,0.723160138301108,False,0.5818698263301891,0.5216485892515176,False,0.7051444107262597,0.5917919859022852,False,0.7396181966783103,0.8689789321416787,False,0,High,Medium,High SPI / Medium AI
HAVELI,,9618217B64863264884629,PAK,ADM3,HAVELI,HAVELI,HAVELI,0.0557818636298179,0.0253110416233539,0.4854118824005127,-1.1355230808258057,1.853785753250122,-0.3016602993011474,0.3960933983325958,52193,2.989308834075928,0.828268826007843,0.8908987045288086,0.1742001175880432,0.1881411671638488,1.0,0.7279328107833862,0.9622238278388976,54211,0.8118588328361511,542.024777328295,0.0557818636298179,0.828268826007843,0.9181983179426685,0.5364003906693828,0.38179792727328565,35,2,0.19964447681433017,0.21743067147155878,0.648,1,Not Significant,0.4391736313855085,0.8187421915137989,0.482,1,Not Significant,-0.06676764095168451,-0.32427688676492816,0.856,4,Not Significant,-0.3514657972095338,0.4072476608393517,False,False,False,45.039939880371094,54211,0.4057294726371765,54211,0.00027669660630635917,54211,0.1009155735373497,52193,40.57294726371765,0.027669660630635917,10.09155735373497,0.41261200987635,1.7047974185817334,-0.6986493047273544,-0.08043874924022397,0.43944848526446884,0.16300929072065307,False,0.3345803436226263,0.008825007399980822,False,0.43040228055938495,0.08517266861760009,False,0.44849468996955283,0.24919411102658107,False,0,High,Medium,High SPI / Medium AI
KOTLI,,9618217B93166287325125,PAK,ADM3,KOTLI,KOTLI,KOTLI,-0.4150692820549011,-0.4353774785995483,0.3374435007572174,-1.2338253259658811,1.0040903091430664,-0.6702654361724854,-0.1820978671312332,92875,2.237915515899658,0.9436764121055604,0.9746546149253844,0.0788736566901207,0.391823261976242,1.0,0.9258747100830078,1.0,93973,0.6081767082214355,939.7529399679773,-0.4150692820549011,0.9436764121055604,-0.5894590794329672,1.004677829501141,-1.5941369089341082,63,7,0.29097370364772196,-0.49362833451920957,0.311,3,Not Significant,0.8721241441397185,0.8680634911320374,0.033,1,HH,0.6313023250438148,-0.7343368141764842,0.085,3,LL,-0.45665214217935285,0.041582860124451726,False,False,False,23.862579345703125,93973,0.3002990186214447,93973,0.00019154438632540405,93973,0.003169295145198703,92875,30.02990186214447,0.019154438632540405,0.3169295145198703,-1.1264142365496643,0.946955134724166,-0.6992957385869824,-0.9832440057985213,-0.5011726595259989,-1.8023253851856773,False,-0.4654997115527505,-1.763246796178951,False,-0.6261970529878245,-1.9090113693612558,False,-0.3761482660641733,-1.6635485279759563,False,0,Low,High,Low SPI / High AI
NAKIAL,,9618217B15093186041287,PAK,ADM3,NAKIAL,NAKIAL,NAKIAL,-0.3810041844844818,-0.3851682543754577,0.2837549448013305,-1.0956517457962036,0.8419301509857178,-0.5908364653587341,-0.1834420561790466,18210,1.9375818967819212,0.9549785256385804,0.9746546149253844,0.0663983449339866,0.5286526083946228,1.0,0.9469975233078004,1.0,19056,0.4713473916053772,190.82236338762738,-0.3810041844844818,0.9549785256385804,-0.4803832137054257,1.050537247911878,-1.5309204616173036,60,1,0.2831662469258505,-0.5894590794329672,0.737,3,Not Significant,1.0554514820422078,1.004677829501141,0.247,1,Not Significant,0.7097594541363464,-0.8596904211479351,0.46,3,Not Significant,-0.46695326754875194,0.08594908306427013,False,False,False,29.442136764526367,19056,0.2764483690261841,19056,5.247690933174454e-05,19056,0.01746203377842903,18210,27.644836902618408,0.005247690933174454,1.7462033778429031,-0.7209300263265516,0.7755148148516763,-0.7003514706151295,-0.8512332553029777,-0.3622485892361741,-1.6270784782888246,False,-0.37424998434824563,-1.6604074945748866,False,-0.43809975908065657,-1.6832267568306893,False,-0.2863974193916916,-1.552198121509512,False,0,Medium,High,Medium SPI / High AI
SEHNSA,,9618217B87362341551768,PAK,ADM3,SEHNSA,SEHNSA,SEHNSA,-0.2906353175640106,-0.297834575176239,0.3731556534767151,-1.0839200019836426,0.9850279092788696,-0.572938084602356,-0.0244412422180175,47466,2.0689477920532227,0.8273777365684509,0.9015079140663148,0.1868960410356521,0.1317675560712814,1.0,0.7292121648788452,0.9731379747390748,48546,0.8682324290275574,485.5476113404175,-0.2906353175640106,0.8273777365684509,-0.19102363169363562,0.5327847091136206,-0.7238083408072562,46,3,0.1094460728699973,-0.5729452000238763,0.751,3,Not Significant,0.45629579802488257,0.8564356112697178,0.37,1,Not Significant,0.3008877261972803,-0.7708403116162712,0.508,3,Not Significant,-0.35065362840555675,0.06001831084154613,False,False,False,22.803359985351562,48546,0.3974786698818207,48546,0.00012359411630313843,48546,0.0031258328817784786,47466,39.74786698818207,0.012359411630313843,0.31258328817784786,-1.203391081404102,1.6454900081930408,-0.699811583685596,-0.9836454324361706,-0.35749306211592546,-1.1017572213824298,False,-0.31033952233320694,-1.0385077524004238,False,-0.5251160914817078,-1.2911403921710976,False,-0.18987003275014297,-0.8653658011561396,False,0,Medium,Medium,Medium SPI / Medium AI
