shapeName,shapeISO,shapeID,shapeGroup,shapeType,name_norm,_key,tehsil,spi_mean,spi_count,ai_mean,ai_count,area_km2,spi,ai,spi_z,ai_z,gap_index,gap_rank,n_neighbors,spi_cluster,spi_local_I,spi_local_p,ai_cluster,ai_local_I,ai_local_p,gap_cluster,gap_local_I,gap_local_p,priority_strict,priority_relaxed,priority_lisa,tri_mean,forest_pct,water_pct,snow_pct,tri_mean_z,forest_pct_z,water_pct_z,snow_pct_z,spi_alt_proposal,spi_alt_equal,spi_alt_terrain_emphasis,spi_alt_veg_water_emph,priority_frequency,spi_class,ai_class,biv_class
BAGH,,9618217B73079690921862,PAK,ADM3,BAGH,BAGH,BAGH,-0.1103333979845047,44829,0.8665540814399719,44829,449.2769935179932,-0.1103333979845047,0.8665540814399719,0.3999382507024553,0.6907443119659377,-0.29080606126348235,39,6,NS,0.15779682624148383,0.171,HH,0.39072854417927705,0.068,NS,0.014406359505770027,0.414,False,False,False,38.984833,0.3619673,0.0010682096,0.055200886,-0.027431956584124985,1.3902314931347897,-0.6926405262118231,-0.5026692516946619,0.09889473289795667,0.0418724396610449,0.0850338536489227,0.1602793416580443,0.0,Med,Med,Med SPI / Med AI
DHEERKOT,,9618217B97675599580596,PAK,ADM3,DHEERKOT,DHEERKOT,DHEERKOT,-0.3650264143943786,21920,0.8414749503135681,21920,230.17283944944074,-0.3650264143943786,0.8414749503135681,-0.42347945086916755,0.5890523178853904,-1.0125317687545579,50,4,NS,-0.2412564361190083,0.148,NS,0.2945006517475209,0.157,NS,-0.020445096978735876,0.465,False,False,False,37.58956,0.20416413,8.693384e-05,0.029929787,-0.12883076167116939,0.2559301139641171,-0.7000898905091667,-0.7360784661559007,-0.2683419094268935,-0.3272672510930299,-0.22865461154252137,-0.24730443686279246,0.0,Med,Med,Med SPI / Med AI
BARNALA,,9618217B79573260848394,PAK,ADM3,BARNALA,BARNALA,BARNALA,-0.6738541722297668,40034,0.9482070803642272,40034,425.7600286789205,-0.6738541722297668,0.9482070803642272,-1.4219137468810417,1.0218345814578602,-2.443748328338902,75,2,NS,0.9066201618740245,0.172,NS,0.7861663015237624,0.145,NS,0.995445389096451,0.158,False,False,False,9.399435,0.21499036,0.0035702542,0.00036567435,-2.1774969469107774,0.3337498955689498,-0.673646232070535,-1.0091388611430232,-1.0152434761692464,-0.8816330361388465,-1.2744162583236325,-0.8729065025916356,0.0,Low,High,Low SPI / High AI
BHIMBER,,9618217B68732265330698,PAK,ADM3,BHIMBER,BHIMBER,BHIMBER,-0.4752587974071502,35951,0.8319352865219116,35951,372.16655806900684,-0.4752587974071502,0.8319352865219116,-0.7798586588214919,0.5503704580975848,-1.3302291169190767,54,3,LL,0.6861932207212694,0.072,HH,0.524001004620272,0.007,LL,0.7055419830785261,0.041,False,False,False,13.636903,0.30902788,0.00013438331,0.0013758253,-1.8695466811403445,1.0096988706816483,-0.6997296773944663,-0.99980889373794,-0.7418243349551898,-0.6398465953977757,-0.9877643521037035,-0.5828580965469164,0.0,Low,Med,Low SPI / Med AI
SAMAHNI,,9618217B74772899110096,PAK,ADM3,SAMAHNI,SAMAHNI,SAMAHNI,-0.3921881020069122,38294,0.9446962475776672,38294,398.29089868549937,-0.3921881020069122,0.9446962475776672,-0.5112926728411687,1.0075986980395242,-1.5188913708806928,58,4,LL,0.4447639329286195,0.045,HH,0.8562663791279117,0.019,LL,0.7562268850243097,0.027,False,False,False,21.258482,0.3330739,0.0,0.0015146498,-1.3156622716823727,1.1825436260898892,-0.7007498495540259,-0.9985266806294348,-0.5047011946030502,-0.45809879394398606,-0.6762138901507276,-0.3649020581606668,0.0,Med,High,Med SPI / High AI
HATTIAN BALA,,9618217B68754169353282,PAK,ADM3,HATTIAN BALA,HATTIAN BALA,HATTIAN BALA,0.2029001712799072,70027,0.7999044060707092,70027,724.0401355896432,0.2029001712799072,0.7999044060707092,1.4126164516771824,0.4204901967431929,0.9921262549339895,31,3,NS,0.4924222687822848,0.276,NS,0.1704998120454077,0.269,NS,-0.0163409461603286,0.498,False,False,False,48.72398,0.49660945,0.0063391663,0.1033139,0.6803428585052623,2.3580497428715104,-0.6526260102963131,-0.05828727589529553,0.6854497789563976,0.581869828796291,0.705144384898192,0.7396181864546594,0.0,High,Med,High SPI / Med AI
HAVELI,,9618217B64863264884629,PAK,ADM3,HAVELI,HAVELI,HAVELI,0.0363727957010269,52193,0.8365833759307861,52193,542.024777328295,0.0363727957010269,0.8365833759307861,0.8742365982333482,0.5692177410545083,0.3050188571788399,35,2,NS,0.18941440066435128,0.406,NS,0.4595335734936183,0.126,NS,-0.052158857429235594,0.336,False,False,False,45.039948,0.40572947,0.0002766966,0.10091558,0.41261249882766354,1.7047974185817334,-0.6986493047273546,-0.08043866231003996,0.41479613582763664,0.3345804875930006,0.4304025380745693,0.4484948496944745,0.0,High,Med,High SPI / Med AI
KOTLI,,9618217B93166287325125,PAK,ADM3,KOTLI,KOTLI,KOTLI,-0.4139888882637024,92875,0.944545567035675,92875,939.7529399679773,-0.4139888882637024,0.944545567035675,-0.5817742021938695,1.006987711769422,-1.5887619139632916,61,7,LL,0.29429979527430966,0.088,HH,0.8629154996792027,0.003,LL,0.6268506243088747,0.009,False,False,False,23.862583,0.30029902,0.00019154439,0.003169295,-1.1264139528486274,0.946955134724166,-0.6992957385869826,-0.9832440288092785,-0.4940140532952303,-0.4654996463801806,-0.6261969145889197,-0.3761481844054758,0.0,Low,High,Low SPI / High AI
NAKIAL,,9618217B15093186041287,PAK,ADM3,NAKIAL,NAKIAL,NAKIAL,-0.3797376155853271,18210,0.9571930170059204,18210,190.82236338762738,-0.3797376155853271,0.9571930170059204,-0.47104048588598363,1.0582711633780837,-1.5293116492640673,59,1,NS,0.2706560028418081,0.295,HH,1.0525096861646033,0.081,NS,0.6947602433095734,0.243,False,False,False,29.442137,0.27644837,5.247691e-05,0.017462034,-0.7209300388150547,0.7755148148516764,-0.7003514706151297,-0.8512332704641783,-0.3687637580882116,-0.3742499912606716,-0.43809976759908825,-0.28639742541242263,0.0,Med,High,Med SPI / High AI
SEHNSA,,9618217B87362341551768,PAK,ADM3,SEHNSA,SEHNSA,SEHNSA,-0.2940476834774017,47466,0.8237859606742859,47466,485.5476113404175,-0.2940476834774017,0.8237859606742859,-0.19400655720304175,0.5173262034270267,-0.7113327606300685,46,3,NS,0.11074995115396838,0.171,HH,0.4362375919021963,0.046,LL,0.29122692533521716,0.095,False,False,False,22.803356,0.39747867,0.00012359412,0.0031258329,-1.2033913485554522,1.645490008193041,-0.6998115836855963,-0.983645453313785,-0.3465058773460242,-0.3103395943404481,-0.525116228189025,-0.18987011602719014,0.0,Med,Med,Med SPI / Med AI
DUDYAL,,9618217B37808039502792,PAK,ADM3,DUDYAL,DUDYAL,DUDYAL,-0.463477075099945,30598,0.925215482711792,30598,317.5687767404139,-0.463477075099945,0.925215482711792,-0.7417685735906433,0.9286072124318173,-1.6703757860224606,64,3,NS,0.370030404483116,0.207,HH,0.7296933908191321,0.079,NS,0.6212573679606936,0.112,False,False,False,9.195518,0.37413016,0.00028338423,0.0023628229,-2.192316280726296,1.4776591047851444,-0.6985985355707884,-0.9906927750185848,-0.735754184175792,-0.6009871216326312,-1.054020015994525,-0.5376507029278303,0.0,Low,High,Low SPI / High AI
MIRPUR,,9618217B94086344698677,PAK,ADM3,MIRPUR,MIRPUR,MIRPUR,-0.4627669155597687,56758,0.9089204668998718,56758,582.1858084312614,-0.4627669155597687,0.9089204668998718,-0.7394726412381828,0.8625334460347187,-1.6020060872729016,63,4,NS,0.4774061130034256,0.115,HH,0.7440286086808271,0.022,LL,0.6995225160929377,0.045,False,False,False,6.92488,0.39677525,0.0025413397,0.0028884744,-2.35733073369621,1.6404337403543685,-0.6814572457160243,-0.9858377466197912,-0.7484163201722445,-0.5960479964194143,-1.1006728676276036,-0.5333090714245272,0.0,Low,High,Low SPI / High AI
MUZAFFARABAD,,9618217B57894485120071,PAK,ADM3,MUZAFFARABAD,MUZAFFARABAD,MUZAFFARABAD,0.1007539555430412,128708,0.6843277812004089,128708,1303.0581155334173,0.1007539555430412,0.6843277812004089,1.0823796694839325,-0.048155124058459155,1.1305347935423917,28,5,HH,0.8658171918356591,0.027,NS,-0.002625963053992258,0.472,NS,0.24397308476390034,0.171,False,True,False,47.625328,0.41140854,0.06777892,0.07368786,0.6005003301422989,1.7456190212085922,-0.18620553633692655,-0.33191966096382625,0.5429548313918021,0.45699853851253464,0.571655189717755,0.6074964721764616,0.0,High,Med,High SPI / Med AI
ATHUMQAM,,9618217B55768510626440,PAK,ADM3,ATHUMQAM,ATHUMQAM,ATHUMQAM,0.2663966715335846,345318,0.5012511014938354,345318,3494.316731916934,0.2663966715335846,0.5012511014938354,1.6178994352223022,-0.790502717169702,2.408402152392004,13,4,HH,1.1474373334805719,0.066,LL,0.5226204067709738,0.083,HH,0.955502869507347,0.061,False,True,True,54.254936,0.3083545,0.08816097,0.2559393,1.0822950495129156,1.0048585380199186,-0.0314750417234346,1.3513932306163028,0.8940015396130737,0.8517679441064256,0.9401069606943717,0.820986300421437,0.0,High,Low,High SPI / Low AI
ABBASPUR,,9618217B83205974251307,PAK,ADM3,ABBASPUR,ABBASPUR,ABBASPUR,-0.2220367044210434,10289,0.9290246367454528,10289,104.27144702372694,-0.2220367044210434,0.9290246367454528,0.03880357516072125,0.9440527423224084,-0.9052491671616871,49,4,NS,0.001621294563301367,0.474,HH,0.768075298620169,0.04,NS,0.20228075897406286,0.21,False,False,False,38.70563,0.30568355,0.0,0.02927778,-0.047722418532402465,0.9856595871985188,-0.7007498495540259,-0.742100547680552,-0.05885802913362673,-0.1262283071421154,-0.04315685141168414,-0.005121393940754393,0.0,Med,High,Med SPI / High AI
HAJEERA,,9618217B82484311896760,PAK,ADM3,HAJEERA,HAJEERA,HAJEERA,-0.3940492868423462,25919,0.960910975933075,25919,267.82666791784163,-0.3940492868423462,0.960910975933075,-0.5173098481881628,1.0733469112302036,-1.5906567594183665,62,4,NS,0.19683993937428648,0.219,HH,0.9378073082816754,0.017,LL,0.5776018756669005,0.086,False,False,False,29.247267,0.28356037,0.0012688935,0.014650938,-0.7350918614184596,0.8266363968858651,-0.691117033050697,-0.8771971445418284,-0.3642858877934997,-0.36919241053128,-0.4374657779709356,-0.2768954693037269,0.0,Med,High,Med SPI / High AI
RAWALAKOT,,9618217B87664867246475,PAK,ADM3,RAWALAKOT,RAWALAKOT,RAWALAKOT,-0.4158055782318115,35278,0.9333879351615906,35278,356.77077892190624,-0.4158055782318115,0.9333879351615906,-0.5876475264769403,0.9617452418938309,-1.5493927683707711,60,5,NS,0.1059195694223687,0.322,HH,0.7452668968801752,0.027,NS,0.42845994823733463,0.123,False,False,False,31.616339,0.209018,0.00019628736,0.03604998,-0.5629238638855067,0.29082014008862433,-0.6992597322222386,-0.6795510625782096,-0.4000804762978609,-0.41272862964933266,-0.4301195231450958,-0.3583787095813558,0.0,Low,High,Low SPI / High AI
PALLANDARI,,9618217B46803973144296,PAK,ADM3,PALLANDARI,PALLANDARI,PALLANDARI,-0.3609914779663086,56661,0.8505352139472961,56661,572.5306834574859,-0.3609914779663086,0.8505352139472961,-0.41043457776498216,0.6257902842513482,-1.0362248620163304,51,4,NS,0.19059752146672665,0.189,HH,0.549985613644506,0.017,LL,0.4029809998134692,0.073,False,False,False,30.444464,0.27520165,1.745871e-05,0.018879864,-0.6480877489329968,0.7665532907871428,-0.7006173116012958,-0.8381378873697318,-0.3429434292239687,-0.3550724142792204,-0.40154649615472393,-0.26533534844953993,0.0,Med,Med,Med SPI / Med AI
BAR CHAMARKAND,,9618217B38361138378149,PAK,ADM3,BAR CHAMARKAND,BAR CHAMARKAND,BAR CHAMARKAND,-0.6157772541046143,1547,0.9068084359169006,1547,16.66556358839703,-0.6157772541046143,0.9068084359169006,-1.2341521697829954,0.8539694873738017,-2.088121657156797,70,2,LL,2.1365981627746335,0.005,HH,0.7292897720401765,0.095,LL,1.5628946445186396,0.005,False,False,False,36.462944,0.057057057,0.0,0.026073143,-0.21070563522060137,-0.8014869617027269,-0.7007498495540259,-0.771699245939074,-0.5686085318515123,-0.621160423104107,-0.48651757427481107,-0.594600128356366,0.0,Low,High,Low SPI / High AI
BARANG,,9618217B27103402875346,PAK,ADM3,BARANG,BARANG,BARANG,-0.5773922204971313,26462,0.9100061058998108,26462,267.0539384890698,-0.5773922204971313,0.9100061058998108,-1.1100540826294847,0.8669355441057788,-1.9769896267352634,69,5,LL,1.5139692462212821,0.001,HH,0.7311729127277562,0.011,LL,1.2633825303073396,0.001,False,False,False,39.55876,0.05099214,0.00018719581,0.015049579,0.014277277898833885,-0.8450820620914724,-0.6993287508562669,-0.8735152163991274,-0.5208422617093551,-0.6009121878620082,-0.3978043685571867,-0.5551009054317273,0.0,Low,High,Low SPI / High AI
KHAR,,9618217B31254576320005,PAK,ADM3,KHAR,KHAR,KHAR,-0.9116582274436952,27496,0.9592697620391846,27496,276.41142835889747,-0.9116582274436952,0.9592697620391846,-2.1907297565573596,1.066692042975749,-3.2574217995331085,81,7,LL,3.143294041615327,0.001,HH,0.9635541050015968,0.002,LL,2.2050435308920946,0.001,False,False,False,12.835186,0.008249213,0.00025326532,0.005125093,-1.9278099923121448,-1.152321528436124,-0.698827183581794,-0.9651798658932431,-1.295615289313289,-1.1860346425558264,-1.4439703592645527,-1.2435232320039153,0.0,Low,High,Low SPI / High AI
MAMUND,,9618217B90172425710539,PAK,ADM3,MAMUND,MAMUND,MAMUND,-0.7675642967224121,26014,0.9451161026954652,26014,266.03283752224746,-0.7675642967224121,0.9451161026954652,-1.7248768057485369,1.009301145542135,-2.734177951290672,79,3,LL,2.9565466043831408,0.001,HH,0.9699088240302884,0.002,LL,2.117537556661343,0.002,False,False,False,24.003092,0.027933381,7.5190794e-05,0.014952587,-1.116202742041672,-1.0108301978824774,-0.7001790379532757,-0.8744110518631024,-0.9582965271484802,-0.925405757435132,-0.9964559240697883,-0.9443162992450291,0.0,Low,High,Low SPI / High AI
NAWAGAI,,9618217B6749340310851,PAK,ADM3,NAWAGAI,NAWAGAI,NAWAGAI,-0.7279031276702881,12529,0.9082799553871156,12529,127.09234227098358,-0.7279031276702881,0.9082799553871156,-1.59665299685545,0.8599362710115716,-2.4565892678670216,76,4,LL,2.782844513225404,0.001,HH,0.8067212915470642,0.006,LL,1.9068267389895497,0.001,False,False,False,28.117872,0.031849638,0.0005504876,0.014326882,-0.8171685556329781,-0.982679844957963,-0.6965708178658027,-0.8801901987475097,-0.8470311590336955,-0.8441523543010634,-0.8416343993000784,-0.8461257544558594,0.0,Low,High,Low SPI / High AI
SALARZAI,,9618217B53890861075426,PAK,ADM3,SALARZAI,SALARZAI,SALARZAI,-0.6729782819747925,23575,0.940928280353546,23575,237.95614985386965,-0.6729782819747925,0.940928280353546,-1.4190820102643638,0.9923201742852614,-2.411402184549625,74,4,LL,2.176773426883721,0.001,HH,0.9499893854939921,0.003,LL,1.7392660463670842,0.003,False,False,False,25.181694,0.08920543,0.00029413,0.015034009,-1.030549968611105,-0.5704019666159502,-0.6985169589251167,-0.8736590228333602,-0.8177281770195697,-0.793281979246383,-0.8651817748925141,-0.7859636737243998,0.0,Low,High,Low SPI / High AI
UTMAN KHEL,,9618217B58376820156413,PAK,ADM3,UTMAN KHEL,UTMAN KHEL,UTMAN KHEL,-0.6065471768379211,17036,0.9189379811286926,17036,170.30611119254485,-0.6065471768379211,0.9189379811286926,-1.2043115046740707,0.9031529153665941,-2.1074644200406647,71,4,LL,1.5624039546432342,0.004,HH,0.8223781631395547,0.01,LL,1.3471499327944825,0.003,False,False,False,30.457394,0.097205915,0.00011739845,0.02521947,-0.6471480907677348,-0.5128938553690605,-0.699858618149132,-0.7795839467987545,-0.6506138086005496,-0.6598711277711704,-0.6480692011998624,-0.6399148303981347,0.0,Low,High,Low SPI / High AI
AMBAR UTMAN KHEL,,9618217B21414584218612,PAK,ADM3,AMBAR UTMAN KHEL,AMBAR UTMAN KHEL,AMBAR UTMAN KHEL,-0.7725338935852051,22047,0.8985021710395813,22047,233.19628794933223,-0.7725338935852051,0.8985021710395813,-1.7409434183482055,0.8202888692344229,-2.5612322875826283,78,2,LL,2.837766864307386,0.007,HH,0.7832756478654779,0.036,LL,1.916756608428881,0.006,False,False,False,26.878597,0.010209334,0.0011582018,0.0112052495,-0.9072306115885461,-1.1382320259173606,-0.6919573496982494,-0.9090222533613976,-0.9222846411472608,-0.9116105601413884,-0.9214086514366924,-0.922981466680544,0.0,Low,High,Low SPI / High AI
SAFI,,9618217B32259055898287,PAK,ADM3,SAFI,SAFI,SAFI,-0.8245413899421692,30830,0.910617172718048,30830,322.88028693270456,-0.8245413899421692,0.910617172718048,-1.9090826697434227,0.8694133254511449,-2.7784959951945676,80,3,LL,2.845294756924183,0.004,HH,0.726785423760427,0.059,LL,1.8713700049206528,0.006,False,False,False,21.383608,0.012261581,0.0025699777,0.007692641,-1.3065689754797598,-1.123480318172655,-0.6812398405594307,-0.9414654468459134,-1.0627102784421485,-1.0131886452644396,-1.1213863444852123,-1.040544565262469,0.0,Low,High,Low SPI / High AI
UPPER MOMAND,,9618217B63558675564153,PAK,ADM3,UPPER MOMAND,UPPER MOMAND,UPPER MOMAND,-0.7587194442749023,49075,0.8997355699539185,49075,513.8074016796696,-0.7587194442749023,0.8997355699539185,-1.6962815651890226,0.8252901108828498,-2.5215716760718725,77,1,LL,3.198362211464306,0.02,NS,0.7086599701378793,0.208,LL,2.0033703148781683,0.024,False,False,False,23.797592,0.039929137,0.00048670327,0.012831732,-1.1311370554187905,-0.9246037792092184,-0.6970550372166284,-0.8939997195364433,-0.9452598655494957,-0.9116988978452701,-0.9891474970641996,-0.9250859676230263,0.0,Low,High,Low SPI / High AI
ASTORE,,9618217B70325037560475,PAK,ADM3,ASTORE,ASTORE,ASTORE,-0.0445630475878715,518641,0.4514433443546295,518641,5206.053764504701,-0.0445630475878715,0.4514433443546295,0.6125725487234216,-0.9924654613587492,1.6050380100821708,22,6,HH,0.35164680745770427,0.071,LL,0.8863676998577863,0.015,HH,0.6817636364227194,0.018,False,True,True,48.84534,0.027667437,0.1930113,0.2683244,0.6891625324600177,-1.0127418293738926,0.764497196820856,1.4657846341933154,0.4340777952203673,0.47667563352507414,0.476575175007356,0.3139182052600489,0.0,Med,Low,Med SPI / Low AI
CHILAS,,9618217B41750222117386,PAK,ADM3,CHILAS,CHILAS,CHILAS,-0.1923608779907226,421974,0.4487928450107574,421974,4219.784738764564,-0.1923608779907226,0.4487928450107574,0.1347449603464434,-1.003212825859897,1.1379577862063404,27,6,HH,0.11272730564857367,0.013,LL,1.0072997474083416,0.01,HH,0.6064256871553082,0.004,False,True,True,50.24708,0.049529117,0.14758255,0.15173729,0.7910315131624284,-0.8555983783408809,0.4196244021801268,0.388961366507277,0.2246785887591104,0.18600472587723782,0.34568394621614856,0.14388024596758747,0.0,Med,Low,Med SPI / Low AI
